,Last_Price,Company Name,Sector
MMM,138.32000732421875,3M Company,Industrials
NOC,512.2999877929688,Northrop Grumman Corporation,Industrials
CL,90.2300033569336,Colgate-Palmolive Company,Consumer Staples
GD,271.5199890136719,General Dynamics Corporation,Industrials
CDNS,264.6499938964844,"Cadence Design Systems, Inc.",Technology
MSI,417.19000244140625,"Motorola Solutions, Inc.",Technology
ITW,234.8699951171875,Illinois Tool Works Inc.,Industrials
WMB,56.41999816894531,"The Williams Companies, Inc.",Energy
ECL,237.5500030517578,Ecolab Inc.,Materials
COF,174.91000366210938,Capital One Financial Corporation,Financials
SNPS,428.70001220703125,"Synopsys, Inc.",Technology
MAR,233.38999938964844,"Marriott International, Inc.",Consumer Discretionary
PNC,160.22999572753906,"The PNC Financial Services Group, Inc.",Financials
EOG,114.05000305175781,"EOG Resources, Inc.",Energy
REGN,576.719970703125,"Regeneron Pharmaceuticals, Inc.",Healthcare
USB,39.29999923706055,U.S. Bancorp,Financials
APD,270.20001220703125,"Air Products and Chemicals, Inc.",Materials
BDX,209.35000610351562,"Becton, Dickinson and Company",Healthcare
AZO,3575.1201171875,"AutoZone, Inc.",Consumer Discretionary
ROP,553.760009765625,"Roper Technologies, Inc.",Technology
EMR,104.43000030517578,Emerson Electric Co.,Industrials
SPG,153.17999267578125,"Simon Property Group, Inc.",Real Estate
AFL,105.30000305175781,Aflac Incorporated,Financials
BK,79.3499984741211,The Bank of New York Mellon Corporation,Financials
MNST,58.25,Monster Beverage Corporation,Consumer Staples
CPRT,58.52000045776367,"Copart, Inc.",Industrials
RCL,209.50999450683594,Royal Caribbean Cruises Ltd.,Consumer Discretionary
TRV,248.10000610351562,"The Travelers Companies, Inc.",Financials
ADSK,263.5299987792969,"Autodesk, Inc.",Technology
NEM,48.75,Newmont Corporation,Materials
AEP,102.3499984741211,"American Electric Power Company, Inc.",Utilities
CSX,28.65999984741211,CSX Corporation,Industrials
COR,273.8900146484375,"Cencora, Inc.",Healthcare
PAYX,146.14999389648438,"Paychex, Inc.",Technology
FDX,217.94000244140625,FedEx Corporation,Industrials
JCI,78.83000183105469,Johnson Controls International plc,Industrials
MET,75.23999786376953,"MetLife, Inc.",Financials
ALL,193.0,The Allstate Corporation,Financials
OKE,84.86000061035156,"ONEOK, Inc.",Energy
NSC,222.02000427246094,Norfolk Southern Corporation,Industrials
DLR,145.77000427246094,"Digital Realty Trust, Inc.",Real Estate
PSA,282.2900085449219,Public Storage,Real Estate
TFC,37.9900016784668,Truist Financial Corporation,Financials
PCAR,93.93000030517578,PACCAR Inc,Industrials
AIG,82.81999969482422,"American International Group, Inc.",Financials
SLB,35.97999954223633,Schlumberger Limited,Energy
FCX,33.7400016784668,Freeport-McMoRan Inc.,Materials
O,53.97999954223633,Realty Income Corporation,Real Estate
GWW,965.3699951171875,"W.W. Grainger, Inc.",Industrials
AMP,473.0,"Ameriprise Financial, Inc.",Financials
FICO,1848.0,Fair Isaac Corporation,Technology
ROST,137.0,"Ross Stores, Inc.",Consumer Discretionary
KMB,135.14999389648438,Kimberly-Clark Corporation,Consumer Staples
EXC,44.29999923706055,Exelon Corporation,Utilities
D,52.25,"Dominion Energy, Inc.",Utilities
TGT,97.69000244140625,Target Corporation,Consumer Staples
SRE,68.05999755859375,Sempra,Utilities
FAST,76.47000122070312,Fastenal Company,Industrials
KR,65.83000183105469,The Kroger Co.,Consumer Staples
AXON,559.8400268554688,"Axon Enterprise, Inc.",Industrials
HES,137.97000122070312,Hess Corporation,Energy
CCI,95.54000091552734,Crown Castle Inc.,Real Estate
NDAQ,71.98999786376953,"Nasdaq, Inc.",Financials
EW,69.9000015258789,Edwards Lifesciences Corporation,Healthcare
PEG,81.83000183105469,Public Service Enterprise Group Incorporated,Utilities
CMI,296.54998779296875,Cummins Inc.,Industrials
YUM,145.4499969482422,"Yum! Brands, Inc.",Consumer Discretionary
LHX,214.35000610351562,"L3Harris Technologies, Inc.",Industrials
PWR,269.6000061035156,"Quanta Services, Inc.",Industrials
URI,611.1199951171875,"United Rentals, Inc.",Industrials
XEL,68.58000183105469,Xcel Energy Inc.,Utilities
BKR,38.75,Baker Hughes Company,Energy
FIS,72.41000366210938,"Fidelity National Information Services, Inc.",Technology
DHI,121.16000366210938,"D.R. Horton, Inc.",Consumer Discretionary
OXY,40.22999954223633,Occidental Petroleum Corporation,Energy
F,9.5,Ford Motor Company,Consumer Discretionary
AME,161.0,"AMETEK, Inc.",Industrials
GRMN,192.7100067138672,Garmin Ltd.,Technology
GLW,43.2599983215332,Corning Incorporated,Technology
PCG,16.809999465942383,PG&E Corporation,Utilities
PRU,103.91000366210938,"Prudential Financial, Inc.",Financials
TTWO,208.1300048828125,"Take-Two Interactive Software, Inc.",Communication Services
ED,105.7699966430664,"Consolidated Edison, Inc.",Utilities
VLO,115.9000015258789,Valero Energy Corporation,Energy
CTSH,72.88999938964844,Cognizant Technology Solutions Corporation,Technology
CBRE,121.2699966430664,"CBRE Group, Inc.",Real Estate
EA,136.5800018310547,Electronic Arts Inc.,Communication Services
ODFL,165.49000549316406,"Old Dominion Freight Line, Inc.",Industrials
SYY,71.06999969482422,Sysco Corporation,Consumer Staples
ETR,80.51000213623047,Entergy Corporation,Utilities
HUM,285.5299987792969,Humana Inc.,Healthcare
ACGL,91.4800033569336,Arch Capital Group Ltd.,Financials
BRO,116.63999938964844,"Brown & Brown, Inc.",Financials
HSY,164.16000366210938,The Hershey Company,Consumer Staples
HIG,116.37000274658203,"The Hartford Insurance Group, Inc.",Financials
WEC,104.36000061035156,"WEC Energy Group, Inc.",Utilities
STZ,183.39999389648438,"Constellation Brands, Inc.",Consumer Staples
CSGP,78.69999694824219,"CoStar Group, Inc.",Real Estate
IDXX,397.1000061035156,"IDEXX Laboratories, Inc.",Healthcare
GIS,58.060001373291016,"General Mills, Inc.",Consumer Staples
RMD,216.44000244140625,ResMed Inc.,Healthcare
VMC,239.52999877929688,Vulcan Materials Company,Materials
CAH,130.4499969482422,"Cardinal Health, Inc.",Healthcare
WTW,314.80999755859375,Willis Towers Watson Public Limited Company,Financials
IT,406.1300048828125,"Gartner, Inc.",Technology
CNC,62.630001068115234,Centene Corporation,Healthcare
A,107.05000305175781,"Agilent Technologies, Inc.",Healthcare
